time,x,z,u,w,Fx,Fz,theta,thrust
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,0.002378,0.000000,0.095118,0.000000,19.023633,0.000000,0.087266,19.096300
0.100000,0.009506,0.000000,0.190012,0.000000,18.978810,0.000000,0.087266,19.051424
0.150000,0.021374,0.000000,0.284681,0.000000,18.933786,0.000000,0.087266,19.006581
0.200000,0.037969,0.000000,0.379124,0.000000,18.888561,0.000000,0.087266,18.961770
0.250000,0.059280,0.000000,0.473340,0.000000,18.843140,0.000000,0.087266,18.916994
0.300000,0.085297,0.000000,0.567327,0.000000,18.797524,0.000000,0.087266,18.872252
0.350000,0.116007,0.000000,0.661086,0.000000,18.751717,0.000000,0.087266,18.827547
0.400000,0.151400,0.000000,0.754614,0.000000,18.705721,0.000000,0.087266,18.782879
0.450000,0.191463,0.000000,0.847912,0.000000,18.659538,0.000000,0.087266,18.738248
0.500000,0.236185,0.000000,0.940978,0.000000,18.613172,0.000000,0.087266,18.693657
0.550000,0.285555,0.000000,1.033811,0.000000,18.566625,0.000000,0.087266,18.649105
0.600000,0.339560,0.000000,1.126411,0.000000,18.519900,0.000000,0.087266,18.604594
0.650000,0.398190,0.000000,1.218776,0.000000,18.472999,0.000000,0.087266,18.560126
0.700000,0.461432,0.000000,1.310905,0.000000,18.425925,0.000000,0.087266,18.515700
0.750000,0.529275,0.000000,1.402799,0.000000,18.378681,0.000000,0.087266,18.471317
0.800000,0.601706,0.000000,1.494455,0.000000,18.331269,0.000000,0.087266,18.426980
0.850000,0.678714,0.000000,1.585873,0.000000,18.283692,0.000000,0.087266,18.382688
0.900000,0.760287,0.000000,1.677053,0.000000,18.235953,0.000000,0.087266,18.338442
0.950000,0.846414,0.000000,1.767994,0.000000,18.188055,0.000000,0.087266,18.294244
1.000000,0.937081,0.000000,1.858693,0.000000,18.139999,0.000000,0.087266,18.250095
1.050000,1.032277,0.000000,1.949152,0.000000,18.091789,0.000000,0.087266,18.205995
1.100000,1.131990,0.000000,2.039370,0.000000,18.043427,0.000000,0.087266,18.161945
1.150000,1.236208,0.000000,2.129344,0.000000,17.994917,0.000000,0.087266,18.117946
1.200000,1.344918,0.000000,2.219075,0.000000,17.946259,0.000000,0.087266,18.073999
1.250000,1.458109,0.000000,2.308563,0.000000,17.897458,0.000000,0.087266,18.030105
1.300000,1.575768,0.000000,2.397805,0.000000,17.848516,0.000000,0.087266,17.986265
1.350000,1.697884,0.000000,2.486803,0.000000,17.799436,0.000000,0.087266,17.942480
1.400000,1.824443,0.000000,2.575554,0.000000,17.750219,0.000000,0.087266,17.898750
1.450000,1.955433,0.000000,2.664058,0.000000,17.700869,0.000000,0.087266,17.855077
1.500000,2.090842,0.000000,2.752315,0.000000,17.651389,0.000000,0.087266,17.811461
1.550000,2.230658,0.000000,2.840324,0.000000,17.601780,0.000000,0.087266,17.767903
1.600000,2.374868,0.000000,2.928084,0.000000,17.552046,0.000000,0.087266,17.724404
1.650000,2.523460,0.000000,3.015595,0.000000,17.502189,0.000000,0.087266,17.680965
1.700000,2.676422,0.000000,3.102856,0.000000,17.452212,0.000000,0.087266,17.637587
1.750000,2.833740,0.000000,3.189867,0.000000,17.402117,0.000000,0.087266,17.594270
1.800000,2.995402,0.000000,3.276626,0.000000,17.351907,0.000000,0.087266,17.551016
1.850000,3.161396,0.000000,3.363134,0.000000,17.301585,0.000000,0.087266,17.507824
1.900000,3.331709,0.000000,3.449390,0.000000,17.251152,0.000000,0.087266,17.464697
1.950000,3.506329,0.000000,3.535393,0.000000,17.200612,0.000000,0.087266,17.421635
2.000000,3.685242,0.000000,3.621143,0.000000,17.149967,0.000000,0.087266,17.378638
2.050000,3.868437,0.000000,3.706639,0.000000,17.099220,0.000000,0.087266,17.335708
2.100000,4.055900,0.000000,3.791881,0.000000,17.048373,0.000000,0.087266,17.292845
2.150000,4.247618,0.000000,3.876868,0.000000,16.997428,0.000000,0.087266,17.250050
2.200000,4.443580,0.000000,3.961600,0.000000,16.946389,0.000000,0.087266,17.207323
2.250000,4.643772,0.000000,4.046076,0.000000,16.895258,0.000000,0.087266,17.164666
2.300000,4.848181,0.000000,4.130296,0.000000,16.844036,0.000000,0.087266,17.122080
2.350000,5.056795,0.000000,4.214260,0.000000,16.792728,0.000000,0.087266,17.079564
